date,price
2018/12/27,9156
2018/12/26,8865
2018/12/25,8818
2018/12/21,9218
2018/12/20,9439
2018/12/19,9514
2018/12/18,9558
2018/12/17,9760
2018/12/14,9932
2018/12/13,9910
2018/12/12,9822
2018/12/11,9760
2018/12/10,9774
2018/12/7,9924
2018/12/6,10038
2018/12/5,10074
2018/12/4,10373
2018/12/3,10246
2018/11/30,10198
2018/11/29,10209
2018/11/28,10045
2018/11/27,10012
2018/11/26,9844
2018/11/22,9912
2018/11/21,9832
2018/11/20,9991
2018/11/19,10110
2018/11/16,10159
2018/11/15,10089
2018/11/14,10170
2018/11/13,10124
2018/11/12,10324
2018/11/9,10436
2018/11/8,10432
2018/11/7,10231
2018/11/6,10190
2018/11/5,10167
2018/11/2,10137
2018/11/1,10008
2018/10/31,9918
2018/10/30,9754
2018/10/29,9743
2018/10/26,9914
2018/10/25,9769
2018/10/24,10039
2018/10/23,10159
2018/10/22,10163
2018/10/19,10145
2018/10/18,10307
2018/10/17,10309
2018/10/16,10082
2018/10/15,10127
2018/10/12,10037
2018/10/11,10255
2018/10/10,10588
2018/10/9,10578
2018/10/5,10805
2018/10/4,10933
2018/10/3,10857
2018/10/2,10939
2018/10/1,10913
2018/9/28,10906
2018/9/27,10833
2018/9/26,10848
2018/9/25,10849
2018/9/21,10843
2018/9/20,10721
2018/9/19,10678
2018/9/18,10585
2018/9/14,10640
2018/9/13,10515
2018/9/12,10504
2018/9/11,10473
2018/9/10,10411
2018/9/7,10397
2018/9/6,10509
2018/9/5,10596
2018/9/4,10598
2018/9/3,10596
2018/8/31,10648
2018/8/30,10780
2018/8/29,10677
2018/8/28,10673
2018/8/27,10571
2018/8/24,10533
2018/8/23,10496
2018/8/22,10434
2018/8/21,10368
2018/8/20,10370
2018/8/17,10361
2018/8/16,10266
2018/8/15,10447
2018/8/14,10357
2018/8/13,10390
2018/8/10,10549
2018/8/9,10564
2018/8/8,10619
2018/8/7,10559
2018/8/6,10534
2018/8/3,10542
2018/8/2,10564
2018/8/1,10600
2018/7/31,10487
2018/7/30,10533
2018/7/27,10557
2018/7/26,10545
2018/7/25,10526
2018/7/24,10457
2018/7/23,10441
2018/7/20,10567
2018/7/19,10623
2018/7/18,10619
2018/7/17,10551
2018/7/13,10577
2018/7/12,10433
2018/7/11,10424
2018/7/10,10416
2018/7/9,10271
2018/7/6,10206
2018/7/5,10110
2018/7/4,10110
2018/7/3,10164
2018/7/2,10180
2018/6/29,10078
2018/6/28,10010
2018/6/27,10072
2018/6/26,10042
2018/6/25,10196
2018/6/22,10176
2018/6/21,10278
2018/6/20,10213
2018/6/19,10302
2018/6/18,10373
2018/6/15,10416
2018/6/14,10401
2018/6/13,10439
2018/6/12,10419
2018/6/11,10311
2018/6/8,10358
2018/6/7,10391
2018/6/6,10284
2018/6/5,10293
2018/6/4,10208
2018/6/1,10046
2018/5/31,10062
2018/5/30,9941
2018/5/29,10147
2018/5/28,10193
2018/5/25,10218
2018/5/24,10250
2018/5/23,10396
2018/5/22,10417
2018/5/21,10358
2018/5/18,10382
2018/5/17,10331
2018/5/16,10296
2018/5/15,10323
2018/5/14,10273
2018/5/11,10257
2018/5/10,10208
2018/5/9,10074
2018/5/8,10046
2018/5/7,10015
2018/5/2,10096
2018/5/1,10057
2018/4/27,10062
2018/4/26,9997
2018/4/25,9979
2018/4/24,10037
2018/4/23,9972
2018/4/20,10015
2018/4/19,10052
2018/4/18,9993
2018/4/17,9907
2018/4/16,9903
2018/4/13,9914
2018/4/12,9819
2018/4/11,9874
2018/4/10,9702
2018/4/9,9676
2018/4/6,9836
2018/4/5,9704
2018/4/4,9636
2018/4/3,9517
2018/4/2,9694
2018/3/30,9680
2018/3/29,9643
2018/3/28,9570
2018/3/27,9654
2018/3/26,9444
2018/3/23,9600
2018/3/22,9870
2018/3/20,9887
2018/3/19,9973
